,lon,lat,output [tonnes/year]
0,168.7979166666571,-46.58083333900163,0.164904
1,168.34874999999045,-46.44708333475944,0.124932
2,168.33708333332402,-46.41875000142471,1.21337
3,168.02124999999046,-46.357916668088365,0.121138
4,169.81124999999054,-46.3437500014208,0.197533
5,170.1970833333237,-46.05291666807267,0.179718
6,170.3920833333234,-45.92875000139975,0.382871
7,170.50958333332358,-45.888750001397625,0.144652
8,170.51708333332385,-45.875416668063735,0.593496
9,171.25958333332346,-44.42166667191185,0.236202
10,171.25708333332352,-44.36125000132256,0.102279
11,171.350416666657,-44.28125000131877,0.129572
12,172.3787499999903,-43.85625000129852,0.376397
13,172.75041666665675,-43.5512500012843,2.26848
14,172.72458333332338,-43.48791666794807,2.85002
15,172.70708333332357,-43.391250001276774,0.503895
16,147.33791666665775,-42.88375000125353,0.207065
17,147.45791666665787,-42.77791666791535,0.10896
18,171.19208333332335,-42.43875000123336,0.499766
19,174.06208333332324,-41.50125000119209,0.362587
20,174.88541666665674,-41.41124999444696,0.446126
21,175.12458333332347,-41.37041666785308,0.384108
22,174.77291666665656,-41.343333338027264,0.247236
23,174.67791666665676,-41.34041666785157,0.298863
24,174.80541666665658,-41.32958333451796,0.253982
25,173.21874999999,-41.30791666785029,0.165286
26,173.2195833333235,-41.29791666784996,0.306686
27,174.78041666665683,-41.287083334516126,1.08666
28,173.2862499999901,-41.26291666784829,0.836801
29,174.78874999999005,-41.26375001003271,1.20911
30,174.81458333332353,-41.247916667847676,0.617929
31,174.90041666665684,-41.23875000118062,2.08366
32,174.89624999999023,-41.23625000118062,2.42931
33,174.8879166666568,-41.23041666784684,0.119185
34,146.36458333332462,-41.17541666784456,0.271711
35,174.86291666665704,-41.09541666784122,1.99405
36,174.86541666665676,-41.09583333798537,0.165719
37,174.98041666665665,-40.891250001165645,0.56945
38,175.00708333332375,-40.87375000116498,0.1993
39,175.12374999998997,-40.72791666782547,0.113427
40,175.18291666665687,-40.59458333448646,0.412065
41,175.23624999999015,-40.474583334481395,1.26618
42,175.2279166666567,-40.29458333447383,0.214379
43,174.98916666665684,-39.94624999724522,1.28799
44,174.48958333332337,-39.772083334452134,0.138492
45,176.94541666665668,-39.59791666777835,0.131471
46,174.1954166666569,-39.586250001111125,0.121175
47,176.92874999999026,-39.56791666777701,1.10677
48,176.91958333332343,-39.53375000110901,0.259979
49,176.89416666325894,-39.47916667047775,0.313279
50,174.0187499999903,-39.06791666775666,0.195353
51,174.04499999999007,-39.05874999815313,0.483597
52,174.07208333332323,-39.05541666775616,0.828541
53,174.09041666665678,-39.049583334422664,0.500877
54,177.4304166666567,-39.04875000108939,0.202675
55,174.10791666665682,-39.03625000108889,0.324303
56,174.14541666665707,-39.01875000108811,0.160131
57,174.1833333333234,-38.99541666490046,0.120989
58,174.22958333332326,-38.987916667753495,0.239999
59,177.93583333719357,-38.71000000333464,0.104636
60,178.02291666665678,-38.6745833344076,0.617042
61,142.36874999999156,-38.34875000106132,0.110947
62,141.61541666665823,-38.347916667727986,0.116891
63,145.12041666665823,-38.07291666771715,0.338561
64,147.45874999999126,-38.063750001050096,0.19372
65,145.08541666665815,-38.0112500010481,4.33865
66,144.61291666665807,-38.00125000104765,0.202907
67,177.27624999999,-37.992083334380595,0.246314
68,177.00541666665663,-37.94291666771204,0.835071
69,176.88041666665674,-37.90958333437743,0.270435
70,176.78874999999005,-37.89041666771004,0.364923
71,144.82041666665782,-37.872083334375986,0.178359
72,176.48874999998986,-37.776250001038875,0.167795
73,176.41791666665677,-37.74875000103776,1.40976
74,176.15291666665667,-37.72375000103676,0.228067
75,176.18291666665664,-37.72041666770332,0.148702
76,176.11958333332313,-37.6787500010351,0.188227
77,176.17208333332314,-37.67375000103493,0.69369
78,176.1212499999899,-37.67208333436821,0.118515
79,174.77374999999006,-37.343750001022215,2.56115
80,175.56124999998997,-37.18458333434944,0.536852
81,175.49874999998997,-37.181250001015826,0.330453
